Cpf,Nome,DataNascimento,Endereco,Telefone,Alergias,HistoricoMedico,MedicamentosEmUso,Observacoes,ContatosEmergencia
11111111111,João Silva,1980-05-15,Rua A,11111111, -, -, -, -,"[{""CpfContato"": ""11111111111"", ""Nome"": ""João da Silva"", ""Telefone"": ""11111111111"", ""Endereco"": ""Rua A, 123"", ""GrauParentesco"": ""Amigo""},{""CpfContato"": ""22222222222"", ""Nome"": ""Maria Santos"", ""Telefone"": ""22222222222"", ""Endereco"": ""Rua B, 456"", ""GrauParentesco"": ""Amigo""}]"
22222222222,Maria Santos,1995-10-20,Rua B,22222222, -, -, -, -,"[{""CpfContato"": ""11111111111"", ""Nome"": ""João da Silva"", ""Telefone"": ""11111111111"", ""Endereco"": ""Rua A, 123"", ""GrauParentesco"": ""Amigo""},{""CpfContato"": ""22222222222"", ""Nome"": ""Maria Santos"", ""Telefone"": ""22222222222"", ""Endereco"": ""Rua B, 456"", ""GrauParentesco"": ""Amigo""}]"
33333333333,Carlos Ferreira,1978-03-08,Rua C,33333333, -, -, -, -,"[{""CpfContato"": ""11111111111"", ""Nome"": ""João da Silva"", ""Telefone"": ""11111111111"", ""Endereco"": ""Rua A, 123"", ""GrauParentesco"": ""Amigo""},{""CpfContato"": ""22222222222"", ""Nome"": ""Maria Santos"", ""Telefone"": ""22222222222"", ""Endereco"": ""Rua B, 456"", ""GrauParentesco"": ""Amigo""}]"
44444444444,Luciana Oliveira,1985-12-01,Rua D,44444444, -, -, -, -,"[{""CpfContato"": ""11111111111"", ""Nome"": ""João da Silva"", ""Telefone"": ""11111111111"", ""Endereco"": ""Rua A, 123"", ""GrauParentesco"": ""Amigo""},{""CpfContato"": ""22222222222"", ""Nome"": ""Maria Santos"", ""Telefone"": ""22222222222"", ""Endereco"": ""Rua B, 456"", ""GrauParentesco"": ""Amigo""}]"
55555555555,Antonio Alves,1990-07-25,Rua E,55555555, -, -, -, -,"[{""CpfContato"": ""11111111111"", ""Nome"": ""João da Silva"", ""Telefone"": ""11111111111"", ""Endereco"": ""Rua A, 123"", ""GrauParentesco"": ""Amigo""},{""CpfContato"": ""22222222222"", ""Nome"": ""Maria Santos"", ""Telefone"": ""22222222222"", ""Endereco"": ""Rua B, 456"", ""GrauParentesco"": ""Amigo""}]"
66666666666,Juliana Lima,1998-09-12,Rua F,66666666, -, -, -, -,"[{""CpfContato"": ""11111111111"", ""Nome"": ""João da Silva"", ""Telefone"": ""11111111111"", ""Endereco"": ""Rua A, 123"", ""GrauParentesco"": ""Amigo""},{""CpfContato"": ""22222222222"", ""Nome"": ""Maria Santos"", ""Telefone"": ""22222222222"", ""Endereco"": ""Rua B, 456"", ""GrauParentesco"": ""Amigo""}]"
77777777777,Paulo Souza,1982-11-30,Rua G,77777777, -, -, -, -,"[{""CpfContato"": ""11111111111"", ""Nome"": ""João da Silva"", ""Telefone"": ""11111111111"", ""Endereco"": ""Rua A, 123"", ""GrauParentesco"": ""Amigo""},{""CpfContato"": ""22222222222"", ""Nome"": ""Maria Santos"", ""Telefone"": ""22222222222"", ""Endereco"": ""Rua B, 456"", ""GrauParentesco"": ""Amigo""}]"
88888888888,Sandra Santos,1975-08-18,Rua H,88888888, -, -, -, -,"[{""CpfContato"": ""11111111111"", ""Nome"": ""João da Silva"", ""Telefone"": ""11111111111"", ""Endereco"": ""Rua A, 123"", ""GrauParentesco"": ""Amigo""},{""CpfContato"": ""22222222222"", ""Nome"": ""Maria Santos"", ""Telefone"": ""22222222222"", ""Endereco"": ""Rua B, 456"", ""GrauParentesco"": ""Amigo""}]"
99999999999,Felipe Costa,1993-06-05,Rua I,99999999, -, -, -, -,"[{""CpfContato"": ""11111111111"", ""Nome"": ""João da Silva"", ""Telefone"": ""11111111111"", ""Endereco"": ""Rua A, 123"", ""GrauParentesco"": ""Amigo""},{""CpfContato"": ""22222222222"", ""Nome"": ""Maria Santos"", ""Telefone"": ""22222222222"", ""Endereco"": ""Rua B, 456"", ""GrauParentesco"": ""Amigo""}]"
00000000000,Mariana Oliveira,1996-02-24,Rua J,00000000, -, -, -, -,"[{""CpfContato"": ""11111111111"", ""Nome"": ""João da Silva"", ""Telefone"": ""11111111111"", ""Endereco"": ""Rua A, 123"", ""GrauParentesco"": ""Amigo""},{""CpfContato"": ""22222222222"", ""Nome"": ""Maria Santos"", ""Telefone"": ""22222222222"", ""Endereco"": ""Rua B, 456"", ""GrauParentesco"": ""Amigo""}]"
12121212121,Rafael Silva,1987-07-01,Rua K,12121212, -, -, -, -,"[{""CpfContato"": ""11111111111"", ""Nome"": ""João da Silva"", ""Telefone"": ""11111111111"", ""Endereco"": ""Rua A, 123"", ""GrauParentesco"": ""Amigo""},{""CpfContato"": ""22222222222"", ""Nome"": ""Maria Santos"", ""Telefone"": ""22222222222"", ""Endereco"": ""Rua B, 456"", ""GrauParentesco"": ""Amigo""}]"
23232323232,Carolina Fernandes,1991-04-09,Rua L,23232323, -, -, -, -,"[{""CpfContato"": ""11111111111"", ""Nome"": ""João da Silva"", ""Telefone"": ""11111111111"", ""Endereco"": ""Rua A, 123"", ""GrauParentesco"": ""Amigo""},{""CpfContato"": ""22222222222"", ""Nome"": ""Maria Santos"", ""Telefone"": ""22222222222"", ""Endereco"": ""Rua B, 456"", ""GrauParentesco"": ""Amigo""}]"
34343434343,Lucas Santos,1984-12-22,Rua M,34343434, -, -, -, -,"[{""CpfContato"": ""11111111111"", ""Nome"": ""João da Silva"", ""Telefone"": ""11111111111"", ""Endereco"": ""Rua A, 123"", ""GrauParentesco"": ""Amigo""},{""CpfContato"": ""22222222222"", ""Nome"": ""Maria Santos"", ""Telefone"": ""22222222222"", ""Endereco"": ""Rua B, 456"", ""GrauParentesco"": ""Amigo""}]"
